id;titulo;autor;totalExemplares;exemplaresDisponiveis
1;MELHORES CONTOS DE CĂES E GATOS, OS;COSTA, Flávio Moreira da (org.);1;1
2;ESTÓRIAS DA CASA VELHA DA PONTE;CORALINA, Cora;1;1
3;É PROIBIDO COMER A GRAMA;PIROLI, Wander;1;1
4;CONTOS CONTIDOS;SIMŐES, Maria Lúcia;1;1
5;VENDEDOR DE JUDAS, O;MONTENEGRO, Tércia;1;1
6;PROSA DO MUNDO, A;ABREU, Caio Fernando et al.;1;1
7;COLCHA MUITO CURTA, UMA;CAPARELLI, Sérgio;1;1
8;MELHORES CONTOS;SCLIAR, Moacyr e ZILBERMANN, R. (sel.);1;1
9;VOU TE CONTAR, MEU CAMARADA;LEMOS, Gláucia;1;1
10;PRA VOCĘ EU CONTO;SCLIAR, Moacir;1;1
11;CONFIDĘNCIAS, CONFUSŐES E... GAROTAS;REIZ, Gustavo;1;1
12;CORCUNDA DE NOTRE-DAME EM CORDEL, O;HUGO, Victor e SÁ, Joăo Gomes de (adap.);1;1
13;MEGERA DOMADA EM CORDEL, A;SHAKESPEARE, W. e HAURÉLIO, M. (adap.);1;1
14;CĂO DOS BASKERVILLES, O;DOYLE, Sir Arthur Conan;1;1
15;MISTÉRIO DA TERCEIRA MEIA, O;RIOS, Rosana;1;1
16;SEGREDO DO COLECIONADOR, O;MASSA, Ana Cristina;1;1
17;EM BUSCA DE UM SONHO;CARRASCO, Walcyr;1;1
18;MURUGAWA: MITOS, CONTOS E FÁBULAS DO POVO MARAGUÁ;YAMĂ, Yaguarę et al.;1;1
19;TIRO NO ESCURO;ESPESCHIT, Rita;1;1
20;PAIS, FILHOS E OUTROS BICHOS;DREWNICK, Raul;1;1
21;AINDA UMA VEZ - ADEUS!: A ROMÂNTICA VIDA DE GONÇALVES DIAS;VERSIANI, Ivana;1;1
22;SETE HISTÓRIAS;VILELA, Luiz;1;1
23;ROMEU E JULIETA E OUTRAS PEÇAS DE SHAKESPEARE;SHAKESPEARE, W. e McCAGUHREAN, G.;1;1
24;TUMBU;LEAL, Marconi;1;1
25;QUEM ACORDA SONHA;CARNEIRO, A., NEIVA, L. e ORTHOF, S.;1;1
26;BETINA;GOMES, NILMA LINO;1;1
27;VIAGENS DA CAROLINA;ZIRALDO;1;1
28;GUILHERME AUGUSTO ARAÚJO FERNANDES;FOX, Mem e VIVAS, Julie;1;1
29;NIAN: reconto de tradiçăo oral chinesa;CHEN, Kety;1;1
30;SE AS COISAS FOSSEM MĂES;ORTHOF, Sylvia;1;1
31;SE UM DIA EU FOR EMBORA;GÖBEL, Anna;1;1
32;DUELO DANADO DE DANDĂO E DEDÉ: CANTORIA EM TRAVA-LÍNGUAS;GOMES, L., HOLANDA, A.;1;1
33;PULA, GATO!;CASTANHA, Marilda;1;1
34;QUANDO EU ERA PEQUENA;PRADO, Adélia;1;1
35;USAGI YOJIMBO: DAISHO;SAKAI, Stan;1;1
36;CAPITĂO E A SEREIA;NEVES, André;1;1
37;KACHTANKA;TCHEKHOV, Anton;1;1
38;CONTOS DE UM REINO PERDIDO;L`HOMME, Erik;1;1
39;FLORESTA DE HISTÓRIAS: Contos de árvores mágicas do mundo todo;SINGH, Rina e CANN, Helen;1;1
40;HISTÓRIAS DE MUKASHI: Contos populares do Japăo;HIRATSUKA, Lúcia;1;1
41;PINDORAMA: TERRA DAS PALMEIRAS;CASTANHA, Marilda;1;1
42;JOGO DO PENSAMENTO, O;VIANA, Vivina de Assis;1;1
43;BÁRBARA E ALVARENGA;CRUZ, Nelson;1;1
44;MEMÓRIAS DE UM CABO DE VASSOURA;LESSA, Orígenes;1;1
45;LUZ É COMO A ÁGUA, A;MÁRQUEZ, Gabriel Garcia e VENDRELL, C.;1;1
46;CHICA E JOĂO;CRUZ, Nelson;1;1
47;LEONARDO DESDE VINCI;MOULIN, Nilson e MATUCK, Rubens;1;1
48;PALMAS PARA JOĂO CRISTIANO: de Ana Maria Machado para Hans Christian Andersen;MACHADO, Ana Maria;1;1
49;CONTOS DE SHAKESPEARE;SHAKESPEARE, W. e CAMPOS, Paulo Mendes (adap.);1;1
50;VOLTA AO MUNDO EM 80 DIAS, A;VERNE, Júlio;1;1
51;VILLA BOA DE GOYAZ;CORALINA, Cora;1;1
52;MISERÁVEIS, OS;HUGO, Victor e VIANA, Klévisson (adap.);1;1
53;PELEJA DO VIOLEIRO MAGRILIM COM A FORMOSA PRINCESA JEZEBEL, A;SOMBRA, Fábio;1;1
54;JOGO DE ADIVINHAR BICHO INVISÍVEL;MENDONÇA, Bernardo de;1;1
55;APRENDIZ DE FEITICEIRO, O;QUINTANA, Mário;1;1
56;ANTES DO DEPOIS;QUEIRÓS, Bartolomeu Campos de;1;1
57;MOEDA DO IMPERADOR, A;PONTES, Joăo;1;1
58;CANECO DE PRATA, O;MARINHO, Joăo Carlos;1;1
59;MEMÓRIAS DE UM MENINO QUE SE TORNOU ESTRANGEIRO;FREITAS, Marcos Cezar de;1;1
60;DIÁRIO DE BILOCA, O;GARCIA, Edson Gabriel;1;1
61;DIÁRIO DE UM ADOLESCENTE HIPOCONDRÍACO;MACFARLANE, A. e MCPHERSON, A.;1;1
62;AGITO DE PILAR NO EGITO;SILVA, Flávia Lins e;1;1
63;AVENTURAS DE ALICE NO PAÍS DAS MARAVILHAS;CARROLL, Lewis;1;1
